TrialLessonID;TimeTableID;PersonID;TrialLessonTypeID;DateTrialLesson;DateRequestedTrialLesson;isDeleted;isMoved
33;3;1089;1;16-03-15 11:15;16-03-15 11:17;NULL;NULL
34;1;1090;5;18-03-15 14:41;16-03-15 14:43;NULL;NULL
35;3;36;5;16-03-15 14:39;16-03-15 14:43;NULL;NULL
36;5;1091;1;19-03-15 13:39;17-03-15 14:07;NULL;NULL
37;2;1092;1;27-03-15 16:02;19-03-15 16:05;NULL;NULL
38;2;1093;1;20-03-15 21:03;19-03-15 21:05;NULL;NULL
39;5;1094;5;26-03-15 13:35;20-03-15 13:37;NULL;NULL
40;5;39;5;26-03-15 20:27;20-03-15 20:32;NULL;NULL
41;3;1095;1;23-03-15 11:11;21-03-15 11:13;NULL;NULL
42;1;1096;1;01-04-15 00:49;22-03-15 00:52;NULL;NULL
43;3;1097;1;30-03-15 07:55;22-03-15 08:00;NULL;NULL
44;3;40;5;30-03-15 15:36;23-03-15 15:40;NULL;NULL
45;2;1098;1;27-03-15 10:56;25-03-15 11:01;NULL;NULL
46;1;1099;1;01-04-15 12:18;25-03-15 12:26;NULL;NULL
47;1;1100;1;01-04-15 19:09;25-03-15 19:10;NULL;NULL
48;1;1101;1;01-04-15 21:02;26-03-15 21:04;NULL;NULL
49;5;1102;1;02-04-15 14:08;27-03-15 14:10;NULL;NULL
50;3;1103;1;30-03-15 11:09;28-03-15 11:16;NULL;NULL
51;5;1104;1;02-04-15 10:21;29-03-15 10:21;NULL;NULL
52;1;1105;1;08-04-15 22:45;29-03-15 22:47;NULL;NULL
53;5;1106;1;02-04-15 15:37;31-03-15 15:37;NULL;NULL
54;2;42;5;03-04-15 01:37;01-04-15 01:39;NULL;NULL
55;2;1107;5;03-04-15 09:19;03-04-15 09:21;NULL;NULL
56;2;41;5;03-04-15 17:38;03-04-15 17:39;NULL;NULL
57;1;44;5;08-04-15 18:37;04-04-15 18:39;NULL;NULL
58;5;1108;1;09-04-15 15:16;05-04-15 15:23;NULL;NULL
59;3;1109;1;06-04-15 13:04;06-04-15 13:05;NULL;NULL
60;5;1110;1;16-04-15 20:50;06-04-15 20:52;NULL;NULL
61;5;1111;1;16-04-15 04:26;07-04-15 04:28;NULL;NULL
62;5;1112;1;16-04-15 04:29;07-04-15 04:30;NULL;NULL
63;3;59;5;20-04-15 00:29;10-04-15 00:30;NULL;NULL
64;1;1113;1;22-04-15 15:23;10-04-15 15:24;NULL;NULL
65;1;1081;1;15-04-15 11:51;11-04-15 11:53;NULL;NULL
66;1;1114;5;22-04-15 15:09;11-04-15 15:11;NULL;NULL
67;5;1115;1;16-04-15 13:01;13-04-15 13:01;NULL;NULL
68;5;1116;1;16-04-15 13:02;13-04-15 13:02;NULL;NULL
69;5;1117;1;16-04-15 22:20;13-04-15 22:23;NULL;NULL
70;1;1118;1;22-04-15 13:13;18-04-15 13:14;NULL;NULL
71;5;1119;1;23-04-15 12:39;20-04-15 12:43;NULL;NULL
72;5;1120;1;23-04-15 16:02;22-04-15 16:03;NULL;NULL
73;1;1121;1;06-05-15 22:15;23-04-15 22:17;NULL;NULL
74;5;1122;1;30-04-15 09:37;25-04-15 09:40;NULL;NULL
75;1;58;5;06-05-15 22:01;30-04-15 22:03;NULL;NULL
76;1;57;5;06-05-15 20:14;01-05-15 20:16;NULL;NULL
77;2;1123;1;15-05-15 21:35;04-05-15 21:37;NULL;NULL
78;3;1124;1;11-05-15 21:54;04-05-15 21:59;NULL;NULL
79;2;1125;1;08-05-15 16:35;06-05-15 16:37;NULL;NULL
80;3;1126;1;11-05-15 17:57;06-05-15 17:58;NULL;NULL
81;2;63;5;08-05-15 23:16;06-05-15 23:17;NULL;NULL
82;3;1127;1;11-05-15 09:35;07-05-15 09:36;NULL;NULL
83;1;1128;1;13-05-15 15:09;09-05-15 15:10;NULL;NULL
84;1;1129;1;13-05-15 22:31;09-05-15 22:31;NULL;NULL
85;2;1130;1;22-05-15 21:56;10-05-15 22:04;NULL;NULL
86;1;1131;5;13-05-15 09:19;11-05-15 09:20;NULL;NULL
87;1;1132;1;13-05-15 17:51;11-05-15 17:52;NULL;NULL
88;3;1133;5;11-05-15 18:17;11-05-15 18:19;NULL;NULL
89;2;1134;1;15-05-15 15:57;12-05-15 16:14;NULL;NULL
90;3;1135;5;18-05-15 17:52;16-05-15 17:53;NULL;NULL
91;1;1136;1;27-05-15 00:03;18-05-15 00:05;NULL;NULL
92;2;1137;1;29-05-15 12:46;18-05-15 12:49;NULL;NULL
94;2;1139;5;22-05-15 11:46;19-05-15 11:48;NULL;NULL
95;3;1140;1;25-05-15 23:47;19-05-15 23:48;NULL;NULL
100;3;1152;1;15-06-15 15:53;29-05-15 15:57;NULL;NULL
101;1;1153;1;10-06-15 22:22;29-05-15 22:25;NULL;NULL
102;1;1154;5;03-06-15 22:31;29-05-15 22:35;NULL;NULL
105;1;1157;1;03-06-15 10:18;30-05-15 10:19;NULL;NULL
106;5;1158;1;04-06-15 11:43;31-05-15 11:46;NULL;NULL
108;1;1160;1;03-06-15 14:04;31-05-15 14:05;NULL;NULL
109;1;1161;1;05-06-15 20:26;31-05-15 20:28;NULL;NULL
111;1;1162;1;02-06-15 17:15;01-06-15 17:17;NULL;NULL
112;1;1163;5;03-06-15 19:34;01-06-15 19:35;NULL;NULL
113;1;1164;5;02-06-15 18:01;02-06-15 18:07;NULL;NULL
114;1;1165;5;02-06-15 18:08;02-06-15 18:09;NULL;NULL
118;5;1133;5;04-06-15 22:15;03-06-15 22:17;NULL;NULL
119;6;1166;3;23-06-15 14:02;06-06-15 14:04;NULL;NULL
120;1;1167;5;10-06-15 14:08;07-06-15 14:08;NULL;NULL
121;5;1168;1;11-06-15 15:17;07-06-15 15:20;NULL;NULL
122;6;1169;5;09-06-15 15:49;07-06-15 15:58;NULL;NULL
123;6;1170;1;16-06-15 18:23;07-06-15 18:26;NULL;NULL
124;1;1171;1;10-06-15 20:35;08-06-15 20:36;NULL;NULL
125;1;1172;1;10-06-15 20:35;08-06-15 20:36;NULL;NULL
126;1;1173;1;10-06-15 19:47;09-06-15 19:50;NULL;NULL
127;3;1174;1;22-06-15 16:26;10-06-15 16:33;NULL;NULL
128;5;1175;5;11-06-15 18:41;10-06-15 18:42;NULL;NULL
129;6;1176;1;16-06-15 19:10;10-06-15 19:12;NULL;NULL
130;6;1177;3;16-06-15 20:19;10-06-15 20:20;NULL;NULL
131;1;1178;4;17-06-15 08:27;11-06-15 08:28;NULL;NULL
133;6;1179;1;16-06-15 14:04;11-06-15 14:07;NULL;NULL
134;5;1180;3;18-06-15 17:55;11-06-15 17:56;NULL;NULL
135;7;1181;2;19-06-15 20:50;11-06-15 20:51;NULL;NULL
136;1;1182;3;17-06-15 08:50;12-06-15 08:55;NULL;NULL
137;3;1183;1;22-06-15 17:52;12-06-15 17:55;NULL;NULL
138;6;1170;1;16-06-15 17:56;12-06-15 17:58;NULL;NULL
139;5;1184;3;18-06-15 18:18;12-06-15 18:19;NULL;NULL
140;6;1185;1;16-06-15 10:58;13-06-15 11:01;NULL;NULL
141;1;1191;5;17-06-15 11:22;15-06-15 11:28;NULL;NULL
1128;3;2175;1;22-06-15 13:02;16-06-15 13:04;NULL;NULL
1129;6;2176;1;16-06-15 19:26;16-06-15 19:27;NULL;NULL
1130;3;2177;1;22-06-15 08:25;18-06-15 08:27;NULL;NULL
1131;3;2178;1;22-06-15 15:47;18-06-15 15:49;NULL;NULL
1132;3;2179;1;22-06-15 16:02;18-06-15 16:03;NULL;NULL
1133;2;2180;4;19-06-15 23:47;18-06-15 23:48;NULL;NULL
1134;7;2181;4;03-07-15 15:51;20-06-15 15:57;NULL;NULL
1135;7;2181;4;03-07-15 15:51;20-06-15 16:04;NULL;NULL
1136;3;2182;4;06-07-15 07:08;24-06-15 07:10;NULL;NULL
1137;1;2183;1;24-06-15 16:16;24-06-15 16:19;NULL;NULL
1138;3;2184;4;29-06-15 07:01;25-06-15 07:02;NULL;NULL
1139;3;2185;3;29-06-15 17:47;25-06-15 17:49;NULL;NULL
1140;2;2186;3;10-07-15 21:17;26-06-15 21:19;NULL;NULL
1141;3;2187;2;13-07-15 22:14;28-06-15 22:15;NULL;NULL
1142;5;2188;4;02-07-15 07:46;29-06-15 07:48;NULL;NULL
1143;6;2189;3;30-06-15 11:26;30-06-15 11:27;NULL;NULL
1144;1;2190;4;01-07-15 11:05;01-07-15 11:06;NULL;NULL
2130;6;4177;3;07-07-15 15:10;03-07-15 15:12;NULL;NULL
2131;1;4178;5;08-07-15 08:37;04-07-15 08:40;NULL;NULL
2132;1;4179;3;08-07-15 16:21;04-07-15 16:22;NULL;NULL
2133;1;4180;4;08-07-15 18:39;04-07-15 18:40;NULL;NULL
2134;1;4180;4;08-07-15 18:39;04-07-15 18:41;NULL;NULL
2135;6;4178;5;14-07-15 13:19;05-07-15 13:21;NULL;NULL
2136;1;4181;3;08-07-15 11:52;06-07-15 11:54;NULL;NULL
2137;1;4182;3;08-07-15 11:52;06-07-15 11:56;NULL;NULL
2138;5;4183;4;09-07-15 22:54;06-07-15 22:55;NULL;NULL
2139;6;4184;3;07-07-15 12:19;07-07-15 12:20;NULL;NULL
2140;5;4185;2;09-07-15 23:01;07-07-15 23:02;NULL;NULL
2141;7;4186;1;21-08-15 23:06;07-07-15 23:07;NULL;NULL
2142;3;4187;5;13-07-15 20:11;08-07-15 20:13;NULL;NULL
2143;5;4188;3;09-07-15 21:06;08-07-15 21:08;NULL;NULL
2144;3;4189;2;13-07-15 11:09;09-07-15 11:11;NULL;NULL
2145;1;4190;5;15-07-15 13:19;10-07-15 13:22;NULL;NULL
2146;3;4191;2;13-07-15 19:54;10-07-15 20:29;NULL;NULL
2147;1;4192;3;15-07-15 21:49;10-07-15 21:50;NULL;NULL
2155;3;4196;1;07-09-15 17:01;14-07-15 17:05;NULL;NULL
2156;1;4197;4;15-07-15 18:19;14-07-15 18:21;NULL;NULL
2157;1;4198;3;15-07-15 18:49;14-07-15 18:51;NULL;NULL
2158;1;4199;3;15-07-15 18:52;14-07-15 18:55;NULL;NULL
2159;1;4201;1;26-08-15 22:10;15-07-15 00:16;NULL;NULL
2161;1;4202;1;26-08-15 23:45;15-07-15 23:49;NULL;NULL
2163;2;4204;1;17-07-15 00:25;17-07-15 00:32;NULL;NULL
2164;1;4217;1;26-08-15 16:06;20-07-15 16:12;NULL;NULL
2166;3;4223;5;24-08-15 21:44;21-07-15 21:47;NULL;NULL
2167;1;4228;1;26-08-15 21:07;22-07-15 21:09;NULL;NULL
2169;3;4233;1;24-08-15 23:18;27-07-15 23:21;NULL;NULL
2170;3;4234;5;24-08-15 17:53;28-07-15 17:54;NULL;NULL
2171;3;4235;5;24-08-15 11:36;29-07-15 11:40;NULL;NULL
2172;1;4236;1;26-08-15 16:48;29-07-15 16:50;NULL;NULL
2175;6;4237;1;01-09-15 10:23;30-07-15 10:27;NULL;NULL
2177;3;4239;5;24-08-15 13:36;05-08-15 13:53;NULL;NULL
2178;1;4240;1;26-08-15 16:52;05-08-15 17:01;NULL;NULL
2181;1;4241;5;26-08-15 11:53;11-08-15 11:54;NULL;NULL
2182;3;4242;1;07-09-15 15:30;11-08-15 15:31;NULL;NULL
2183;3;4243;5;24-08-15 09:09;12-08-15 09:12;NULL;NULL
2184;3;4244;1;24-08-15 03:54;13-08-15 03:59;NULL;NULL
2185;3;4245;1;24-08-15 02:08;14-08-15 02:10;NULL;NULL
2186;6;4246;3;01-09-15 22:00;14-08-15 22:04;NULL;NULL
2187;6;4247;1;01-09-15 17:24;16-08-15 17:28;NULL;NULL
2188;3;4248;1;24-08-15 06:26;18-08-15 06:32;NULL;NULL
2189;3;4249;5;24-08-15 20:04;18-08-15 20:06;NULL;NULL
2190;2;4259;1;28-08-15 15:03;23-08-15 15:06;NULL;NULL
2191;2;4260;1;28-08-15 15:36;23-08-15 15:37;NULL;NULL
2193;2;4261;1;28-08-15 10:45;24-08-15 10:46;NULL;NULL
2194;1;4262;1;26-08-15 15:13;24-08-15 15:14;NULL;NULL
2195;6;4263;1;01-09-15 16:04;24-08-15 16:07;NULL;NULL
2196;3;4264;5;24-08-15 17:22;24-08-15 17:22;NULL;NULL
2197;7;4265;4;18-09-15 14:43;25-08-15 14:47;NULL;NULL
2198;1;4261;1;26-08-15 17:41;25-08-15 17:42;NULL;NULL
2199;1;4266;5;26-08-15 18:42;25-08-15 18:43;NULL;NULL
2200;1;4263;1;26-08-15 18:52;25-08-15 18:54;NULL;NULL
2201;1;4267;1;26-08-15 23:46;25-08-15 23:53;NULL;NULL
2202;3;4268;1;31-08-15 16:44;26-08-15 16:46;NULL;NULL
2203;1;4270;5;02-09-15 11:42;27-08-15 11:47;NULL;NULL
2204;1;4273;5;02-09-15 20:16;27-08-15 20:17;NULL;NULL
2205;1;4274;1;02-09-15 23:37;27-08-15 23:39;NULL;NULL
2206;1;4275;1;02-09-15 23:44;27-08-15 23:48;NULL;NULL
2207;1;4276;1;02-09-15 22:36;28-08-15 22:37;NULL;NULL
2208;1;4277;1;02-09-15 22:38;28-08-15 22:40;NULL;NULL
2209;3;4278;5;31-08-15 18:36;29-08-15 18:38;NULL;NULL
2211;3;4279;5;31-08-15 18:32;30-08-15 18:33;NULL;NULL
2212;1;4280;1;02-09-15 12:50;31-08-15 12:52;NULL;NULL
2213;7;4281;5;11-09-15 17:11;31-08-15 17:12;NULL;NULL
2214;3;4282;1;07-09-15 20:53;31-08-15 20:55;NULL;NULL
2215;6;4283;1;01-09-15 11:59;01-09-15 12:10;NULL;NULL
2216;1;4284;1;02-09-15 13:48;01-09-15 13:51;NULL;NULL
2217;7;4285;5;04-09-15 14:15;01-09-15 14:16;NULL;NULL
2218;7;4286;5;04-09-15 14:16;01-09-15 14:17;NULL;NULL
2219;6;4287;5;01-09-15 17:52;01-09-15 17:53;NULL;NULL
2220;6;4288;1;08-09-15 22:07;01-09-15 22:10;NULL;NULL
2221;2;4289;1;11-09-15 22:50;02-09-15 22:52;NULL;NULL
2222;1;4290;1;16-09-15 00:43;03-09-15 00:48;NULL;NULL
2223;2;4291;1;04-09-15 10:54;03-09-15 11:04;NULL;NULL
2224;1;4292;5;09-09-15 14:31;03-09-15 14:33;NULL;NULL
2225;2;4293;5;04-09-15 14:57;03-09-15 14:58;NULL;NULL
2226;2;4294;1;04-09-15 16:02;03-09-15 16:03;NULL;NULL
2227;3;4295;1;14-09-15 18:23;03-09-15 18:25;NULL;NULL
2228;5;4296;1;10-09-15 20:37;03-09-15 20:39;NULL;NULL
2229;1;4297;1;09-09-15 23:06;04-09-15 23:08;NULL;NULL
2231;6;4299;1;08-09-15 11:57;06-09-15 11:58;NULL;NULL
2232;6;4300;1;08-09-15 12:00;06-09-15 12:01;NULL;NULL
2233;1;4298;5;09-09-15 12:21;06-09-15 12:22;NULL;NULL
2234;2;4301;1;11-09-15 12:36;06-09-15 13:36;NULL;NULL
2235;2;4302;1;11-09-15 13:38;06-09-15 13:38;NULL;NULL
2236;2;4303;1;11-09-15 13:40;06-09-15 13:40;NULL;NULL
2237;3;4304;4;21-09-15 15:38;06-09-15 15:40;NULL;NULL
2238;2;4305;1;11-09-15 13:40;06-09-15 22:17;NULL;NULL
2239;7;4306;1;11-09-15 22:57;06-09-15 23:04;NULL;NULL
2240;3;4307;5;07-09-15 23:42;06-09-15 23:47;NULL;NULL
2241;3;4308;1;07-09-15 06:23;07-09-15 06:25;NULL;NULL
2242;6;4309;1;15-09-15 12:34;07-09-15 12:36;NULL;NULL
2243;3;4310;1;07-09-15 17:42;07-09-15 18:00;NULL;NULL
2244;2;4301;1;11-09-15 18:26;07-09-15 18:26;NULL;NULL
2245;3;4311;1;14-09-15 19:08;07-09-15 19:10;NULL;NULL
2250;3;4314;5;14-09-15 09:47;08-09-15 09:48;NULL;NULL
2258;7;4317;3;25-09-15 20:03;08-09-15 20:04;NULL;NULL
2264;5;4318;1;10-09-15 18:08;09-09-15 18:11;NULL;NULL
2265;3;4319;1;14-09-15 21:46;09-09-15 21:48;NULL;NULL
2266;3;4320;1;14-09-15 21:33;10-09-15 21:38;NULL;NULL
2267;3;4321;1;14-09-15 22:13;10-09-15 22:18;NULL;NULL
2268;1;4322;5;16-09-15 13:32;11-09-15 13:34;NULL;NULL
2269;1;4323;4;30-09-15 15:18;11-09-15 15:23;NULL;NULL
2270;1;4324;1;16-09-15 16:43;11-09-15 16:45;NULL;NULL
2271;1;4324;1;16-09-15 16:48;11-09-15 16:59;NULL;NULL
2272;2;4325;4;18-09-15 19:48;11-09-15 19:49;NULL;NULL
2273;1;4326;4;23-09-15 02:18;12-09-15 02:19;NULL;NULL
2275;1;4327;1;16-09-15 17:54;12-09-15 17:55;NULL;NULL
2277;3;7071;1;14-09-15 21:23;12-09-15 21:56;NULL;NULL
2278;3;4329;5;14-09-15 23:26;12-09-15 23:27;NULL;NULL
2281;6;4330;3;15-09-15 18:00;13-09-15 18:05;NULL;NULL
2283;5;4332;5;17-09-15 21:29;13-09-15 21:35;NULL;NULL
2284;3;4333;1;14-09-15 21:57;13-09-15 21:59;NULL;NULL
2285;2;4334;1;02-10-15 22:56;13-09-15 22:59;NULL;NULL
2286;1;4335;1;16-09-15 10:56;14-09-15 10:58;NULL;NULL
2287;3;4320;4;21-09-15 12:43;14-09-15 12:44;NULL;NULL
2288;6;4336;1;15-09-15 14:16;14-09-15 14:17;NULL;NULL
2289;3;4321;4;21-09-15 18:24;14-09-15 18:25;NULL;NULL
2290;3;4337;5;21-09-15 19:29;14-09-15 19:30;NULL;NULL
2291;3;4338;5;14-09-15 20:02;14-09-15 20:03;NULL;NULL
2292;6;4309;3;22-09-15 10:15;15-09-15 10:16;NULL;NULL
2293;6;4339;1;15-09-15 17:51;15-09-15 17:52;NULL;NULL
2294;7;4340;5;18-09-15 19:38;15-09-15 19:39;NULL;NULL
2295;1;4341;1;16-09-15 20:31;15-09-15 20:34;NULL;NULL
2296;7;4342;3;25-09-15 23:10;15-09-15 23:23;NULL;NULL
2297;7;4343;2;25-09-15 19:20;16-09-15 19:25;NULL;NULL
2298;5;4338;5;17-09-15 20:59;16-09-15 21:01;NULL;NULL
2300;6;4340;5;22-09-15 19:42;18-09-15 19:42;NULL;NULL
2301;1;4344;4;30-09-15 22:47;19-09-15 22:50;NULL;NULL
2302;3;4345;3;21-09-15 16:03;20-09-15 16:06;NULL;NULL
2303;1;4346;3;23-09-15 23:28;20-09-15 23:31;NULL;NULL
2304;6;4347;4;06-10-15 15:15;21-09-15 15:17;NULL;NULL
2305;3;4337;5;28-09-15 20:01;21-09-15 20:02;NULL;NULL
2306;3;4348;4;28-09-15 16:51;22-09-15 16:53;NULL;NULL
2307;7;4340;5;25-09-15 19:39;22-09-15 19:39;NULL;NULL
2308;1;4326;4;07-10-15 11:56;23-09-15 11:56;NULL;NULL
2309;1;4349;3;30-09-15 14:36;25-09-15 14:36;NULL;NULL
2310;6;4340;5;29-09-15 18:49;25-09-15 18:50;NULL;NULL
2311;1;4350;3;30-09-15 20:48;25-09-15 20:50;NULL;NULL
2312;1;4351;4;30-09-15 15:59;27-09-15 16:00;NULL;NULL
2313;3;4352;5;28-09-15 22:03;27-09-15 22:07;NULL;NULL
2314;3;4348;4;05-10-15 12:16;28-09-15 12:16;NULL;NULL
2315;1;4353;5;30-09-15 20:07;28-09-15 20:09;NULL;NULL
2316;1;4354;3;07-10-15 15:32;29-09-15 15:33;NULL;NULL
2317;1;4323;3;07-10-15 12:53;30-09-15 12:54;NULL;NULL
2318;1;4355;5;07-10-15 08:28;01-10-15 08:30;NULL;NULL
2319;5;4356;5;01-10-15 15:27;01-10-15 15:29;NULL;NULL
2320;1;4357;4;07-10-15 12:13;02-10-15 12:14;NULL;NULL
2321;2;4334;3;16-10-15 17:36;02-10-15 17:37;NULL;NULL
2322;3;4358;4;05-10-15 19:20;02-10-15 19:21;NULL;NULL
2323;2;4359;4;23-10-15 12:03;03-10-15 12:05;NULL;NULL
2324;3;4360;4;12-10-15 12:44;03-10-15 12:46;NULL;NULL
2325;1;4363;2;14-10-15 10:58;04-10-15 11:03;NULL;NULL
2326;1;4364;3;07-10-15 14:34;04-10-15 14:36;NULL;NULL
2327;3;4365;5;05-10-15 17:36;04-10-15 17:47;NULL;NULL
2328;1;4366;3;07-10-15 17:53;04-10-15 17:56;NULL;NULL
2329;1;4367;3;07-10-15 20:01;04-10-15 20:02;NULL;NULL
2330;3;4368;4;12-10-15 23:07;04-10-15 23:10;NULL;NULL
2331;3;4369;3;12-10-15 10:48;05-10-15 10:53;NULL;NULL
2332;3;4370;3;12-10-15 17:23;05-10-15 17:25;NULL;NULL
2333;3;4358;3;12-10-15 19:05;05-10-15 19:05;NULL;NULL
2334;2;4371;5;09-10-15 19:11;05-10-15 19:22;NULL;NULL
2335;3;4372;3;05-10-15 18:34;05-10-15 19:51;NULL;NULL
2336;5;4373;1;15-10-15 20:01;05-10-15 20:05;NULL;NULL
2337;5;4374;4;22-10-15 20:13;05-10-15 20:15;NULL;NULL
2338;5;4375;4;22-10-15 20:21;05-10-15 20:22;NULL;NULL
2339;6;4347;3;20-10-15 10:35;06-10-15 10:36;NULL;NULL
2340;5;4356;5;08-10-15 15:16;06-10-15 15:19;NULL;NULL
2341;6;4376;3;13-10-15 19:45;06-10-15 19:53;NULL;NULL
2342;6;4377;3;13-10-15 20:03;06-10-15 20:11;NULL;NULL
2343;1;4354;3;21-10-15 10:04;07-10-15 10:04;NULL;NULL
2344;1;4378;5;07-10-15 10:53;07-10-15 10:57;NULL;NULL
2345;1;4363;2;14-10-15 16:00;07-10-15 16:02;NULL;NULL
2346;1;4379;4;21-10-15 00:20;10-10-15 00:21;NULL;NULL
2347;3;4360;4;19-10-15 16:04;12-10-15 16:05;NULL;NULL
2348;6;4384;3;20-10-15 12:39;14-10-15 12:40;NULL;NULL
2350;3;4385;4;19-10-15 16:46;16-10-15 16:47;NULL;NULL
2351;3;4386;4;19-10-15 13:40;18-10-15 13:42;NULL;NULL
2352;6;4387;3;27-10-15 22:23;19-10-15 22:26;NULL;NULL
2353;1;4388;4;21-10-15 13:58;20-10-15 13:58;NULL;NULL
2354;1;4389;5;21-10-15 11:56;21-10-15 11:58;NULL;NULL
2355;3;4390;5;26-10-15 14:20;21-10-15 14:24;NULL;NULL
2356;3;4391;5;26-10-15 14:25;21-10-15 14:26;NULL;NULL
2358;3;4392;3;26-10-15 14:27;21-10-15 14:28;NULL;NULL
2360;1;4394;3;21-10-15 15:13;21-10-15 15:16;NULL;NULL
2361;1;4395;5;21-10-15 19:44;21-10-15 19:45;NULL;NULL
2362;1;4389;5;28-10-15 22:53;21-10-15 22:54;NULL;NULL
2364;5;4375;1;05-11-15 16:37;22-10-15 16:38;NULL;NULL
2365;5;4396;1;05-11-15 17:17;22-10-15 17:18;NULL;NULL
2366;5;4397;5;05-11-15 17:18;22-10-15 17:20;NULL;NULL
2367;1;4398;3;28-10-15 17:24;22-10-15 17:27;NULL;NULL
2368;3;4399;4;26-10-15 08:44;24-10-15 08:52;NULL;NULL
2369;6;4400;4;27-10-15 11:24;24-10-15 11:24;NULL;NULL
2370;3;4401;4;26-10-15 12:02;24-10-15 12:04;NULL;NULL
2371;2;4402;3;30-10-15 14:07;24-10-15 14:08;NULL;NULL
2372;6;4403;4;03-11-15 14:45;24-10-15 14:47;NULL;NULL
2373;6;4404;4;10-11-15 18:01;24-10-15 18:02;NULL;NULL
2375;1;4405;3;28-10-15 16:08;25-10-15 16:10;NULL;NULL
2377;3;4399;3;02-11-15 13:51;26-10-15 13:52;NULL;NULL
2378;3;4401;3;02-11-15 17:57;26-10-15 17:58;NULL;NULL
2379;6;4406;3;03-11-15 10:58;27-10-15 11:12;NULL;NULL
2380;1;4407;3;28-10-15 16:19;27-10-15 16:23;NULL;NULL
2381;3;4408;4;16-11-15 23:47;27-10-15 23:48;NULL;NULL
2382;1;4409;3;28-10-15 19:43;28-10-15 19:46;NULL;NULL
2383;5;4410;5;29-10-15 10:23;29-10-15 10:27;NULL;NULL
2384;6;4411;3;03-11-15 14:27;29-10-15 14:33;NULL;NULL
2385;6;4412;3;10-11-15 18:11;29-10-15 18:13;NULL;NULL
2386;6;4413;4;10-11-15 22:14;02-11-15 22:15;NULL;NULL
2387;5;4414;4;12-11-15 09:25;03-11-15 09:27;NULL;NULL
2388;1;4355;5;04-11-15 18:42;03-11-15 18:43;NULL;NULL
2389;6;4415;5;03-11-15 19:06;03-11-15 19:08;NULL;NULL
2390;7;4416;3;13-11-15 09:56;04-11-15 10:01;NULL;NULL
2391;6;4417;3;17-11-15 14:15;04-11-15 14:16;NULL;NULL
2392;1;4418;3;04-11-15 16:45;04-11-15 16:45;NULL;NULL
2393;6;4419;3;17-11-15 18:26;04-11-15 18:28;NULL;NULL
2394;5;4420;5;12-11-15 23:43;04-11-15 23:46;NULL;NULL
2396;7;4421;5;06-11-15 18:54;05-11-15 18:56;NULL;NULL
2397;1;4422;3;11-11-15 19:52;06-11-15 19:55;NULL;NULL
2398;7;4423;3;20-11-15 23:51;07-11-15 00:02;NULL;NULL
2399;3;4424;3;16-11-15 12:27;08-11-15 12:31;NULL;NULL
2400;6;4425;3;10-11-15 11:46;09-11-15 11:47;NULL;NULL
